model,best_params,rmse,mae,r2
random_forest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 400}",1.464334200489692,1.1016888365658601,0.07434346352603671
xgboost,"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 100}",1.4676866070496317,1.0998612717779834,0.07010026657236401
