model,rmse,mae,r2,best_params
svr,1.421915654426942,1.0605364967637645,0.12719518814217856,"{'C': 1.0, 'epsilon': 0.5, 'kernel': 'rbf'}"
ridge,1.4387774730582379,1.0773767225776671,0.10637209954020754,{'alpha': 1000.0}
elasticnet,1.4399308249156244,1.1087566889532263,0.10493882647390151,"{'alpha': 1.0, 'l1_ratio': 0.8}"
lasso,1.4481207976069874,1.1163916987684255,0.09472809473880284,{'alpha': 1.0}
dummy_mean,1.5220824145056184,1.1703326469534048,-0.00010545805282147214,
